"eh_id","title","species","rdataclass"
"EH6695","HumanBreastCancerIDC","Homo sapiens","SpatialExperiment"
"EH6696","HumanBreastCancerILC","Homo sapiens","SpatialExperiment"
"EH6697","HumanCerebellum","Homo sapiens","SpatialExperiment"
"EH6698","HumanColorectalCancer","Homo sapiens","SpatialExperiment"
"EH6699","HumanGlioblastoma","Homo sapiens","SpatialExperiment"
"EH6700","HumanHeart","Homo sapiens","SpatialExperiment"
"EH6701","HumanLymphNode","Homo sapiens","SpatialExperiment"
"EH6702","HumanOvarianCancer","Homo sapiens","SpatialExperiment"
"EH6703","HumanSpinalCord","Homo sapiens","SpatialExperiment"
"EH6704","MouseBrainCoronal","Mus musculus","SpatialExperiment"
"EH6705","MouseBrainSagittalPosterior","Mus musculus","SpatialExperiment"
"EH6706","MouseBrainSagittalAnterior","Mus musculus","SpatialExperiment"
"EH6707","MouseKidneyCoronal","Mus musculus","SpatialExperiment"
"EH6731","HumanBreastCancerIDC_v3.13","Homo sapiens","SpatialExperiment"
"EH6732","HumanBreastCancerILC_v3.13","Homo sapiens","SpatialExperiment"
"EH6733","HumanCerebellum_v3.13","Homo sapiens","SpatialExperiment"
"EH6734","HumanColorectalCancer_v3.13","Homo sapiens","SpatialExperiment"
"EH6735","HumanGlioblastoma_v3.13","Homo sapiens","SpatialExperiment"
"EH6736","HumanHeart_v3.13","Homo sapiens","SpatialExperiment"
"EH6737","HumanLymphNode_v3.13","Homo sapiens","SpatialExperiment"
"EH6738","HumanOvarianCancer_v3.13","Homo sapiens","SpatialExperiment"
"EH6739","HumanSpinalCord_v3.13","Homo sapiens","SpatialExperiment"
"EH6740","MouseBrainCoronal_v3.13","Mus musculus","SpatialExperiment"
"EH6741","MouseBrainSagittalPosterior_v3.13","Mus musculus","SpatialExperiment"
"EH6742","MouseBrainSagittalAnterior_v3.13","Mus musculus","SpatialExperiment"
"EH6743","MouseKidneyCoronal_v3.13","Mus musculus","SpatialExperiment"
"EH7737","WeberDivechaLCdata_Visium","Homo sapiens","SpatialExperiment"
"EH7738","WeberDivechaLCdata_singleNucleus","Homo sapiens","SingleCellExperiment"
"EH9516","Visium_humanDLPFC","Homo sapiens","SpatialExperiment"
"EH9517","Visium_mouseCoronal","Mus musculus","SpatialExperiment"
"EH9522","Janesick_breastCancer_Visium","Homo sapiens","SpatialExperiment"
"EH9605","spe","Homo sapiens","SpatialExperiment"
