"path","purpose","exists","file_size_bytes","md5"
"hpc/download_datasets.R","Download SpatialExperiment datasets from ExperimentHub.",TRUE,4327,"162f47bfdd11185e95a21aee641bc1ac"
"hpc/run_analysis.R","Run per-gene stationary and nonstationary INLA model fits.",TRUE,10948,"848a33210882ba76ebee2dd226d790f7"
"hpc/analysis_functions.R","Model-fitting, preprocessing, mesh, Bayes factor, and helper functions.",TRUE,13824,"b1db1342793ea76b1fbc6d04667c789e"
"results/plot_diverging_stacked_bar.R","Plot evidence strength for stationary versus nonstationary spatial covariance.",TRUE,7952,"8e70a5e37a02ef73648b5fcc1b8d1730"
"results/plot_nonstationarity_by_sample_type.R","Plot dataset-level proportion of nonstationary genes by sample type.",TRUE,6821,"2feffba28df6ec0d408ab48c1e72dd0f"
"results/plot_stationary_vs_nonspatial.R","Plot stationary spatial versus stationary non-spatial model evidence.",TRUE,8637,"ec7b45b6ff6c48ddc5996e8943be5cad"
"results/plot_spatial_maps.R","Generate representative spatial residual maps for selected human and murine tissues.",TRUE,9971,"c9d32ff8c11377a5cacf4dd5d09888bf"
"results/plot_spatial_maps_remaining.R","Generate representative spatial residual maps for remaining tissues.",TRUE,8904,"ffa981fa8116817e7c8f86a6a0bc44f3"
"results/gsea_clusterprofiler.R","Run clusterProfiler GO biological process and KEGG GSEA.",TRUE,9815,"874061814586fb5de6faf2e78ff259b0"
"results/gsea_stationarity_enrichment.R","Run MSigDB/fgsea stationarity enrichment analysis.",TRUE,6047,"e5d104e08762b1af21331e80b0be20f3"
"simulation/prepare_simulation.R","Create simulation configurations from fitted model parameters.",TRUE,8215,"3d120c801fb06251e592add73ba98f57"
"simulation/run_replicate.R","Run one simulation replicate.",TRUE,9455,"6a9e4971213744554b857676498e5646"
"simulation/aggregate_results.R","Aggregate simulation replicate outputs into FDR and power curves.",TRUE,5850,"731c90f2c6a33bf3b36df2086dc554b2"
"simulation/plot_fdr_power.R","Plot simulation FDR and power curves.",TRUE,6142,"c98632e988ca41eb1843e1e7c450bf44"
