"dataset_name","dataset_file","n_spots","n_genes_total","n_genes_analyzed","n_nonstationary","pct_nonstationary","n_stationary_favored","n_stationary_spatial","n_stationary_nonspatial","n_stationary_unclassified","pct_stationary_spatial_among_stationary_favored","median_log_bf_ns_vs_s","min_log_bf_ns_vs_s","max_log_bf_ns_vs_s","species_group","tissue","space_ranger_version","space_ranger_version_source","space_ranger_source_url","eh_id","species","rdataclass"
"HumanBreastCancerILC","HumanBreastCancerILC.rds",4325,36601,16570,8284,49.9939649969825,8286,5574,2712,0,67.270094134685,-0.000973636543164957,-25.0301847665651,353.990810534429,"Human","Breast cancer (ILC)","1.2.0","10x Genomics source dataset archived in ExperimentHub","https://cf.10xgenomics.com/samples/spatial-exp/1.2.0/Parent_Visium_Human_BreastCancer","EH6696","Homo sapiens","SpatialExperiment"
"HumanSpinalCord","HumanSpinalCord.rds",2812,36601,16061,3788,23.5850818753502,12273,3064,9209,0,24.9653711399006,-4.0441348623367,-5825.02168975447,294.461898843855,"Human","Spinal cord","1.2.0","10x Genomics source dataset archived in ExperimentHub","https://cf.10xgenomics.com/samples/spatial-exp/1.2.0/Parent_Visium_Human_SpinalCord","EH6703","Homo sapiens","SpatialExperiment"
"MouseBrainCoronal","MouseBrainCoronal.rds",2702,32285,1535,312,20.3257328990228,1223,748,475,0,61.1610793131643,-5.1778996072353,-11.3117999925354,197.626511018978,"Murine","Brain (coronal I)","1.1.0","10x Genomics source dataset archived in ExperimentHub","https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Adult_Mouse_Brain","EH6704","Mus musculus","SpatialExperiment"
"MouseBrainSagittalPosterior","MouseBrainSagittalPosterior.rds",6644,32285,16143,3043,18.8502756612773,13100,10249,2851,0,78.236641221374,-4.25997241622372,-4244.2071376174,4466.8050809823,"Murine","Brain (posterior)","1.1.0","10x Genomics source dataset archived in ExperimentHub","https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Mouse_Brain_Sagittal_Posterior","EH6705","Mus musculus","SpatialExperiment"
"Visium_humanDLPFC","Visium_humanDLPFC.rds",4992,33538,14932,2808,18.8052504687919,12124,5258,6866,0,43.368525239195,-3.54498277967423,-20.1164721552896,189.001360306879,"Human","DLPFC","1.0.0","spatialLIBD/Maynard et al. source documentation","https://pmc.ncbi.nlm.nih.gov/articles/PMC8095368/","EH9516","Homo sapiens","SpatialExperiment"
"Visium_mouseCoronal","Visium_mouseCoronal.rds",4992,32285,16208,2732,16.8558736426456,13476,11202,2274,0,83.1255565449688,-5.96956924788628,-22.5807906265118,315.714749285085,"Murine","Brain (coronal II)","1.0.0","10x Genomics source dataset used by STexampleData","https://www.10xgenomics.com/datasets/mouse-brain-section-coronal-1-standard-1-0-0","EH9517","Mus musculus","SpatialExperiment"
"MouseBrainSagittalAnterior","MouseBrainSagittalAnterior.rds",5520,32285,1882,294,15.6216790648247,1588,1156,432,0,72.7959697732997,-4.67772473292507,-3627.48179570207,1487.11298560911,"Murine","Brain (anterior)","1.1.0","10x Genomics source dataset archived in ExperimentHub","https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Mouse_Brain_Sagittal_Anterior","EH6706","Mus musculus","SpatialExperiment"
"HumanGlioblastoma","HumanGlioblastoma.rds",3468,36601,13376,1881,14.0625,11495,8089,3406,0,70.3697259678121,-5.29408048190339,-655.420238978938,1698.57225135448,"Human","Glioblastoma","1.2.0","10x Genomics source dataset archived in ExperimentHub","https://cf.10xgenomics.com/samples/spatial-exp/1.2.0/Parent_Visium_Human_Glioblastoma","EH6699","Homo sapiens","SpatialExperiment"
"HumanColorectalCancer","HumanColorectalCancer.rds",3138,36601,16240,2220,13.6699507389163,14020,9661,4359,0,68.9087018544936,-6.5220012564389,-21.0307236107615,5797.84050099372,"Human","Colorectal cancer","1.2.0","10x Genomics source dataset archived in ExperimentHub","https://cf.10xgenomics.com/samples/spatial-exp/1.2.0/Parent_Visium_Human_ColorectalCancer","EH6698","Homo sapiens","SpatialExperiment"
"HumanLymphNode","HumanLymphNode.rds",4035,36601,4410,519,11.7687074829932,3891,1580,2311,0,40.6065278848625,-4.52523451015009,-17.4631434153716,118.536358639235,"Human","Lymph node","1.1.0","10x Genomics source dataset archived in ExperimentHub","https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Human_Lymph_Node","EH6701","Homo sapiens","SpatialExperiment"
"HumanOvarianCancer","HumanOvarianCancer.rds",3493,36601,16690,883,5.29059316956261,15807,8644,7163,0,54.6846333902701,-6.51830747261363,-37.6008411425582,135.45538928089,"Human","Ovarian cancer","1.2.0","10x Genomics source dataset archived in ExperimentHub","https://cf.10xgenomics.com/samples/spatial-exp/1.2.0/Parent_Visium_Human_OvarianCancer","EH6702","Homo sapiens","SpatialExperiment"
"MouseKidneyCoronal","MouseKidneyCoronal.rds",1438,32285,16347,812,4.96727228237597,15535,5900,9635,0,37.9787576440296,-5.45436209083414,-13.2152081573524,455.076685142894,"Murine","Kidney","1.1.0","10x Genomics source dataset archived in ExperimentHub","https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Mouse_Kidney","EH6707","Mus musculus","SpatialExperiment"
"HumanHeart","HumanHeart.rds",4247,36601,13691,472,3.44752026878972,13219,960,12259,0,7.26227399954611,-4.96919680550934,-12.9913685225511,136.29819172088,"Human","Heart","1.1.0","10x Genomics source dataset archived in ExperimentHub","https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Human_Heart","EH6700","Homo sapiens","SpatialExperiment"
