"dataset_name","model_favored_stationary_vs_nonspatial","bf_strength_stationary_vs_nonspatial","n_genes","stationary_favored_with_nonspatial_fit","pct_of_stationary_favored"
"HumanBreastCancerILC","stationary_nonspatial","Anecdotal",58,8286,0.699975862901279
"HumanBreastCancerILC","stationary_nonspatial","Extreme",2424,8286,29.2541636495293
"HumanBreastCancerILC","stationary_nonspatial","Moderate",64,8286,0.77238715906348
"HumanBreastCancerILC","stationary_nonspatial","Strong",79,8286,0.953415399468984
"HumanBreastCancerILC","stationary_nonspatial","Very strong",87,8286,1.04996379435192
"HumanBreastCancerILC","stationary_spatial","Anecdotal",61,8286,0.73618151098238
"HumanBreastCancerILC","stationary_spatial","Extreme",5324,8286,64.2529567945933
"HumanBreastCancerILC","stationary_spatial","Moderate",63,8286,0.760318609703114
"HumanBreastCancerILC","stationary_spatial","Strong",57,8286,0.687907313540912
"HumanBreastCancerILC","stationary_spatial","Very strong",69,8286,0.832729905865315
"HumanColorectalCancer","stationary_nonspatial","Anecdotal",205,14020,1.46219686162625
"HumanColorectalCancer","stationary_nonspatial","Extreme",3500,14020,24.9643366619116
"HumanColorectalCancer","stationary_nonspatial","Moderate",194,14020,1.38373751783167
"HumanColorectalCancer","stationary_nonspatial","Strong",209,14020,1.490727532097
"HumanColorectalCancer","stationary_nonspatial","Very strong",251,14020,1.79029957203994
"HumanColorectalCancer","stationary_spatial","Anecdotal",171,14020,1.21968616262482
"HumanColorectalCancer","stationary_spatial","Extreme",9011,14020,64.2724679029957
"HumanColorectalCancer","stationary_spatial","Moderate",153,14020,1.09129814550642
"HumanColorectalCancer","stationary_spatial","Strong",153,14020,1.09129814550642
"HumanColorectalCancer","stationary_spatial","Very strong",173,14020,1.2339514978602
"HumanGlioblastoma","stationary_nonspatial","Anecdotal",111,11495,0.965637233579817
"HumanGlioblastoma","stationary_nonspatial","Extreme",2820,11495,24.5324053936494
"HumanGlioblastoma","stationary_nonspatial","Moderate",118,11495,1.0265332753371
"HumanGlioblastoma","stationary_nonspatial","Strong",155,11495,1.34841235319704
