"dataset_name","n_spots","x_range","y_range","max_edge_inner","max_edge_outer","cutoff","mesh_nodes"
"HumanBreastCancerILC",4325,18086,17081,3617.2,6028.66666666667,854.05,313
"HumanSpinalCord",2812,2395,2639,527.8,879.666666666667,119.75,360
"MouseBrainCoronal",2702,8740,6605,1748,2913.33333333333,330.25,358
"MouseBrainSagittalPosterior",6644,8640,8638,1728,2880,431.9,292
"Visium_humanDLPFC",4992,8810,9288,1857.6,3096,440.5,340
"Visium_mouseCoronal",4992,8739,9219,1843.8,3073,436.95,342
"MouseBrainSagittalAnterior",5520,8130,8632,1726.4,2877.33333333333,406.5,282
"HumanGlioblastoma",3468,9231,7993,1846.2,3077,399.65,320
"HumanColorectalCancer",3138,9234,7993,1846.8,3078,399.65,295
"HumanLymphNode",4035,9239,8175,1847.8,3079.66666666667,408.75,346
"HumanOvarianCancer",3493,15768,17157,3431.4,5719,788.4,311
"MouseKidneyCoronal",1438,6705,7992,1598.4,2664,335.25,221
"HumanHeart",4247,8277,8618,1723.6,2872.66666666667,413.85,320
