"gene_name","sigma_b_sq_stationary","sigma_eps_sq_stationary","range_stationary","prop_spatial_stationary","log_ml_stationary","sigma_b_sq_nonstationary","sigma_eps_sq_nonstationary","range_nonstationary","prop_spatial_nonstationary","log_ml_nonstationary","log_bayes_factor","bayes_factor","bf_interpretation","dataset_name","dataset_file","n_spots","n_genes_total"
"LINC01409",8.90688344348561e-05,0.125196351767418,555.807034264094,0.000710927368938722,-1643.25435765261,0.0101046044761409,0.1239787911066,178.183857411744,0.0753605950403117,-1646.80358060244,-3.54922294982475,0.0287469688148322,"Very strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"LINC01128",0.00485707587039431,0.457851168030295,1355.69020994429,0.0104970592904257,-4407.4156101381,0.00146765548895624,0.45926993125996,855.227715131278,0.00318544770638835,-4413.29254009539,-5.87692995729049,0.00280337856933595,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"NOC2L",3.91026195079593e-05,0.325632605280053,118.978884073194,0.000120067597397864,-3666.02255147497,5.04882744776778e-05,0.325684640521559,199.094002732598,0.000154997941622967,-3669.889958801,-3.86740732603857,0.0209125185416711,"Very strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"KLHL17",0.00124643744341832,0.0621547507314236,36.6850076004593,0.0196595281460816,-153.068869554136,2.59972294643349e-05,0.0617586671530084,8.29985557609634,0.000420771557540577,-153.553662263181,-0.484792709044456,0.615824838453555,"Anecdotal for stationary","HumanHeart","HumanHeart.rds",4247,36601
"PERM1",0.000378314480979118,0.550296757315556,509.58834054713,0.00068700128325202,-4784.26115922921,1.42058423180672e-05,0.550908461276966,320.425253400441,2.57855469849299e-05,-4787.79018868482,-3.52902945560982,0.0293333713951833,"Very strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"AL645608.7",0.000716670116126439,0.0482519626738418,320.648959982556,0.0146352894760267,375.245356115012,0.00266040269935525,0.0478960560850055,114.575124023949,0.0526224099417782,369.417575180828,-5.82778093418375,0.00294460400568703,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"HES4",0.0305714933194324,0.465080952538083,560.273550252396,0.0616792947859692,-4549.17524882037,0.0202732657191029,0.483204773811193,702.160116576342,0.0402664349333214,-4557.33862352548,-8.16337470511098,0.000284899319474265,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"ISG15",0.101683909253217,0.41658654612305,680.23412040445,0.196198544984382,-4320.93625627309,0.0630253638198394,0.418209723645409,282.319288426008,0.130965853200367,-4291.55015290924,29.3861033638441,5783923438040.41,"Extreme for nonstationary","HumanHeart","HumanHeart.rds",4247,36601
"AGRN",9.98588658667111e-05,0.161209120822199,502.061470394441,0.000619053359954387,-2177.49982966521,0.00266846157034685,0.159960546087248,192.900542104905,0.0164082755517092,-2180.85857817805,-3.35874851283734,0.0347787568882814,"Strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"C1orf159",0.000128975884174889,0.0978760718571298,233.68321359713,0.00131601266615711,-1114.61289114304,0.000197574939224089,0.0976613905071503,317.777649631433,0.0020189763740386,-1121.17881204151,-6.56592089846708,0.00140752716428494,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
