"c_threshold","fdr","fdr_sd","avg_power","avg_power_sd","dataset_name","n_replicates","n_genes","n_h0","n_h1"
0,0.500177840209794,9.20242243130893e-05,0.999991544872358,3.09738386086713e-05,"HumanBreastCancerILC",100,16564,8284,8280
0.1,0.0303055024789876,0.00164574201513974,0.93314288108603,0.00250328926246127,"HumanBreastCancerILC",100,16564,8284,8280
0.2,0.0171661392280925,0.00134320450716795,0.917313942262616,0.00282754949122642,"HumanBreastCancerILC",100,16564,8284,8280
0.3,0.0116313643268389,0.00113493035728393,0.907243728414817,0.00298457825096834,"HumanBreastCancerILC",100,16564,8284,8280
0.4,0.00860235765196268,0.00103499974308161,0.89985298437618,0.00300677087965378,"HumanBreastCancerILC",100,16564,8284,8280
0.5,0.00682407821580579,0.000959011127455359,0.893903366343574,0.00302526401833172,"HumanBreastCancerILC",100,16564,8284,8280
0.6,0.00569424310616431,0.00084485363783394,0.888824833603169,0.00316239083061442,"HumanBreastCancerILC",100,16564,8284,8280
0.7,0.0048565952874299,0.000775932283358208,0.884581058641532,0.00317022483790042,"HumanBreastCancerILC",100,16564,8284,8280
0.8,0.00425498691681241,0.000788716944182021,0.880805943975495,0.00326785980595789,"HumanBreastCancerILC",100,16564,8284,8280
0.9,0.00384391556335864,0.000756937379760059,0.877422258487425,0.00324025231769247,"HumanBreastCancerILC",100,16564,8284,8280
1,0.00346407435561246,0.000708894102907674,0.874263242367439,0.00326914187672339,"HumanBreastCancerILC",100,16564,8284,8280
1.5,0.0024101239762775,0.000586184350368215,0.861906286732247,0.00325756380506684,"HumanBreastCancerILC",100,16564,8284,8280
2,0.00189581086006782,0.000531126427670292,0.852795319206906,0.00319062208214401,"HumanBreastCancerILC",100,16564,8284,8280
2.5,0.00154445170160872,0.000479015353471757,0.845746470032867,0.00336141681157419,"HumanBreastCancerILC",100,16564,8284,8280
3,0.00131577910846437,0.000441082553978132,0.839778783995483,0.00355114356366946,"HumanBreastCancerILC",100,16564,8284,8280
3.5,0.00115927624458418,0.000416553927871713,0.834634982644549,0.00353802945786724,"HumanBreastCancerILC",100,16564,8284,8280
4,0.00102476729486612,0.000379374388575794,0.830124214776505,0.00353922002426643,"HumanBreastCancerILC",100,16564,8284,8280
4.5,0.000930345296377784,0.000370697201386035,0.826157025020049,0.00355857792688645,"HumanBreastCancerILC",100,16564,8284,8280
5,0.000868540541982938,0.00034287836323268,0.82255715074942,0.00357144347186832,"HumanBreastCancerILC",100,16564,8284,8280
6,0.000765958046973349,0.000329160652469395,0.816247618577651,0.00365370733826954,"HumanBreastCancerILC",100,16564,8284,8280
7,0.000692266290165881,0.000307132957251521,0.810897294906296,0.0036924318973677,"HumanBreastCancerILC",100,16564,8284,8280
8,0.000639393429218779,0.000297928275390083,0.80617751586819,0.0035980476952033,"HumanBreastCancerILC",100,16564,8284,8280
9,0.000590069071323075,0.000272125673990597,0.801990422487157,0.00365665525364959,"HumanBreastCancerILC",100,16564,8284,8280
10,0.000546031968897131,0.000279604426928402,0.798220155242002,0.00366303595757416,"HumanBreastCancerILC",100,16564,8284,8280
15,0.0004191855688033,0.00023305957618566,0.783489568022357,0.00365392666011282,"HumanBreastCancerILC",100,16564,8284,8280
20,0.000360854643137567,0.000217295432723995,0.772971250277275,0.00364368076182162,"HumanBreastCancerILC",100,16564,8284,8280
25,0.000320510048773317,0.000205055243827898,0.764756716629498,0.00376011582269533,"HumanBreastCancerILC",100,16564,8284,8280
30,0.00029635152642252,0.000189519201188272,0.757817790617165,0.00371012955127834,"HumanBreastCancerILC",100,16564,8284,8280
35,0.000263282888534857,0.00017446771602528,0.751982952282543,0.0036274317233663,"HumanBreastCancerILC",100,16564,8284,8280
40,0.000252157932709871,0.000173861902111642,0.746915202948103,0.00367992996618244,"HumanBreastCancerILC",100,16564,8284,8280
45,0.000240636201654682,0.000172041956438141,0.742402003300849,0.00362176313662728,"HumanBreastCancerILC",100,16564,8284,8280
50,0.000223930563653489,0.000165249707269681,0.738480720236861,0.0036613128393154,"HumanBreastCancerILC",100,16564,8284,8280
60,0.000211200326999819,0.0001625293680449,0.731539429415015,0.00364311852590467,"HumanBreastCancerILC",100,16564,8284,8280
70,0.000201230558895868,0.000158926580145985,0.725716708176929,0.00359709455618135,"HumanBreastCancerILC",100,16564,8284,8280
80,0.000200909201049759,0.000159445252268442,0.720626036374468,0.00368988677745623,"HumanBreastCancerILC",100,16564,8284,8280
90,0.00019711825237799,0.000155103846912107,0.71608023425116,0.00371583400149248,"HumanBreastCancerILC",100,16564,8284,8280
100,0.000196568182479593,0.000157234655253753,0.71196329947301,0.00376503371955759,"HumanBreastCancerILC",100,16564,8284,8280
150,0.000178524435637507,0.000156565338876576,0.696169495605383,0.00361503232301498,"HumanBreastCancerILC",100,16564,8284,8280
200,0.000163843688913535,0.000152806726570046,0.685050829765044,0.00367015991949804,"HumanBreastCancerILC",100,16564,8284,8280
300,0.000158749441277753,0.000156571839792471,0.669286101284811,0.00385116433441923,"HumanBreastCancerILC",100,16564,8284,8280
500,0.000141339866931088,0.000154519511704152,0.649537205893718,0.00387300359460869,"HumanBreastCancerILC",100,16564,8284,8280
1000,0.000131769759079661,0.000145410335910856,0.6232553929575,0.00393159764230356,"HumanBreastCancerILC",100,16564,8284,8280
5000,0.000117780036843707,0.000143756680406294,0.563836170012165,0.00407238228017302,"HumanBreastCancerILC",100,16564,8284,8280
10000,0.000111794492409388,0.000150466844155031,0.539574081970685,0.00398794315990719,"HumanBreastCancerILC",100,16564,8284,8280
0,0.947205312130023,4.62448939883598e-05,1,0,"HumanOvarianCancer",100,16684,15803,881
0.1,0.415376362144283,0.00979512908125024,0.864026758867338,0.00940042206103087,"HumanOvarianCancer",100,16684,15803,881
0.2,0.286455508676824,0.0121763138083426,0.847978067250277,0.009439195222707,"HumanOvarianCancer",100,16684,15803,881
0.3,0.217332701556194,0.0116773265972189,0.838698173075491,0.00945667286610108,"HumanOvarianCancer",100,16684,15803,881
0.4,0.172582572130204,0.0113165274207751,0.832325785222595,0.00990124225485896,"HumanOvarianCancer",100,16684,15803,881
0.5,0.143352514697663,0.0109627540246556,0.827486637707965,0.009487093179115,"HumanOvarianCancer",100,16684,15803,881
0.6,0.12245196828054,0.0112856263757182,0.823113310584518,0.00911391654219113,"HumanOvarianCancer",100,16684,15803,881
0.7,0.107828680542504,0.0109798324063163,0.819523997564526,0.0092193094085415,"HumanOvarianCancer",100,16684,15803,881
0.8,0.0965185573877695,0.0105402886261796,0.816297830586684,0.00928706885942855,"HumanOvarianCancer",100,16684,15803,881
0.9,0.0880051935057444,0.010253238464991,0.813673860504402,0.00938948436150947,"HumanOvarianCancer",100,16684,15803,881
1,0.0813478563534797,0.00980580881360279,0.811436461051443,0.00949711122187146,"HumanOvarianCancer",100,16684,15803,881
1.5,0.0593462950568296,0.00874887876292524,0.802065593468806,0.00943107481699292,"HumanOvarianCancer",100,16684,15803,881
2,0.0471825965993204,0.00811648864243358,0.795182565183492,0.00963635701129694,"HumanOvarianCancer",100,16684,15803,881
2.5,0.0403391033875246,0.00742101281050258,0.790025661267958,0.0100212570178634,"HumanOvarianCancer",100,16684,15803,881
3,0.0353171439418122,0.00657438825882996,0.785663723076975,0.0105741659551432,"HumanOvarianCancer",100,16684,15803,881
3.5,0.0319640181071036,0.00639687715108737,0.782097073219916,0.0107677854240662,"HumanOvarianCancer",100,16684,15803,881
4,0.0291837799036072,0.00605989174072594,0.779064269876623,0.0111444421143253,"HumanOvarianCancer",100,16684,15803,881
4.5,0.0268881947475877,0.0058045455120953,0.776190401687119,0.0112903441537616,"HumanOvarianCancer",100,16684,15803,881
5,0.0250459589787975,0.00545455142522262,0.773577858761515,0.0114375580380369,"HumanOvarianCancer",100,16684,15803,881
6,0.0222400748796167,0.00569305898204877,0.769329595746956,0.0115852316739674,"HumanOvarianCancer",100,16684,15803,881
7,0.0201667860542634,0.00567367353930744,0.765774180247023,0.0118423680961523,"HumanOvarianCancer",100,16684,15803,881
8,0.0186043701254836,0.00566656734689684,0.762537011733812,0.0118660095102658,"HumanOvarianCancer",100,16684,15803,881
9,0.0172282356002868,0.00559380211219009,0.759617857357429,0.0117176070135104,"HumanOvarianCancer",100,16684,15803,881
10,0.016193367886282,0.00529822257442511,0.757243680101872,0.0118544129105726,"HumanOvarianCancer",100,16684,15803,881
15,0.0131211527590671,0.00472648313592702,0.747054241186263,0.0123429776439805,"HumanOvarianCancer",100,16684,15803,881
20,0.0115735842121061,0.00441419236460732,0.740080316973845,0.0127137079209916,"HumanOvarianCancer",100,16684,15803,881
25,0.0105268295953974,0.00420826874103264,0.73476441317711,0.012811258222216,"HumanOvarianCancer",100,16684,15803,881
30,0.00992576295885387,0.0041025135442238,0.729800434051005,0.012690470300305,"HumanOvarianCancer",100,16684,15803,881
35,0.00950246462682662,0.00402262818462307,0.726188510169213,0.012580891323912,"HumanOvarianCancer",100,16684,15803,881
40,0.00915780548236551,0.0040946539555944,0.722905718811574,0.0127015764665123,"HumanOvarianCancer",100,16684,15803,881
45,0.00892261334238855,0.00407709262296978,0.719532159422582,0.0127940828609925,"HumanOvarianCancer",100,16684,15803,881
50,0.00870852228840899,0.00408962601346058,0.716816852861056,0.0128326275602133,"HumanOvarianCancer",100,16684,15803,881
60,0.00833905564165342,0.00407112405347926,0.712523484268583,0.0127119675937118,"HumanOvarianCancer",100,16684,15803,881
70,0.00805403347498935,0.00399774760892955,0.70868433928343,0.0125910550289837,"HumanOvarianCancer",100,16684,15803,881
80,0.00768213518977953,0.00388574487628956,0.705253936474612,0.0125860485806288,"HumanOvarianCancer",100,16684,15803,881
90,0.0075889935307232,0.00383960034304443,0.702232275990079,0.0124116102542676,"HumanOvarianCancer",100,16684,15803,881
100,0.00739230175275214,0.00379919563070286,0.699619475389761,0.0122388349147371,"HumanOvarianCancer",100,16684,15803,881
150,0.00711184683586845,0.00380042534721193,0.689374781958129,0.0120728721371878,"HumanOvarianCancer",100,16684,15803,881
200,0.00700683392569466,0.00381228890022783,0.682047988800147,0.0116320745273973,"HumanOvarianCancer",100,16684,15803,881
