"replicate","fdr_c1","power_c1","dataset_name"
1,0.00357437448446522,0.875573810099058,"HumanBreastCancerILC"
2,0.00330169211721007,0.875422909618173,"HumanBreastCancerILC"
3,0.00289057123193393,0.875090601594588,"HumanBreastCancerILC"
4,0.00234579826134952,0.873399371828944,"HumanBreastCancerILC"
5,0.0037195205951233,0.87374652651927,"HumanBreastCancerILC"
6,0.00385993934381031,0.872810725933084,"HumanBreastCancerILC"
7,0.00370065789473684,0.877898550724638,"HumanBreastCancerILC"
8,0.00383561643835616,0.878579195360638,"HumanBreastCancerILC"
9,0.00342371952889619,0.878864734299517,"HumanBreastCancerILC"
10,0.00384087791495199,0.877053140096618,"HumanBreastCancerILC"
11,0.00482891832229581,0.871135265700483,"HumanBreastCancerILC"
12,0.003717984026439,0.874425912496979,"HumanBreastCancerILC"
13,0.00317285142778314,0.872705314009662,"HumanBreastCancerILC"
14,0.00346836847946726,0.867721671901425,"HumanBreastCancerILC"
15,0.00233612752507902,0.876811594202899,"HumanBreastCancerILC"
16,0.00347415230683713,0.866062801932367,"HumanBreastCancerILC"
17,0.00358571231554268,0.872689938398357,"HumanBreastCancerILC"
18,0.00424018602106415,0.879227053140097,"HumanBreastCancerILC"
19,0.00375364938134297,0.865772622931014,"HumanBreastCancerILC"
20,0.00397205862210656,0.878366952530499,"HumanBreastCancerILC"
21,0.00371134020618557,0.87536231884058,"HumanBreastCancerILC"
22,0.00370319572075161,0.877400652252687,"HumanBreastCancerILC"
23,0.00385887541345094,0.872946859903382,"HumanBreastCancerILC"
24,0.00533151059466849,0.878743961352657,"HumanBreastCancerILC"
25,0.00261960568040811,0.873671497584541,"HumanBreastCancerILC"
26,0.00370015074688228,0.878019323671498,"HumanBreastCancerILC"
27,0.00465116279069767,0.878850102669405,"HumanBreastCancerILC"
28,0.00329987625464045,0.875588839231791,"HumanBreastCancerILC"
29,0.00207325501036628,0.871980676328502,"HumanBreastCancerILC"
30,0.00304203539823009,0.870983329306596,"HumanBreastCancerILC"
31,0.00384773945307132,0.875800410776852,"HumanBreastCancerILC"
32,0.00330760749724366,0.873535451141442,"HumanBreastCancerILC"
33,0.0028957528957529,0.873309178743961,"HumanBreastCancerILC"
34,0.0038615363398152,0.872553756946122,"HumanBreastCancerILC"
35,0.00345399281569494,0.871135265700483,"HumanBreastCancerILC"
36,0.00234450420631637,0.874622173860476,"HumanBreastCancerILC"
37,0.00302363936228697,0.876192776905423,"HumanBreastCancerILC"
38,0.00302738406495115,0.875,"HumanBreastCancerILC"
39,0.00330350997935306,0.87515107565869,"HumanBreastCancerILC"
40,0.0031767955801105,0.87214501510574,"HumanBreastCancerILC"
41,0.0028921636138273,0.8743961352657,"HumanBreastCancerILC"
42,0.0033003300330033,0.875891238670695,"HumanBreastCancerILC"
43,0.00384298654954708,0.876570048309179,"HumanBreastCancerILC"
44,0.00398132894014278,0.876631222812953,"HumanBreastCancerILC"
45,0.0029134295227525,0.868519637462236,"HumanBreastCancerILC"
46,0.00385091459221565,0.87475845410628,"HumanBreastCancerILC"
47,0.00314766662104831,0.879710144927536,"HumanBreastCancerILC"
48,0.00402163361530994,0.867391304347826,"HumanBreastCancerILC"
49,0.00180030466694364,0.870741725054361,"HumanBreastCancerILC"
50,0.0037463577077841,0.867673716012085,"HumanBreastCancerILC"
51,0.00372465167609325,0.872327575794178,"HumanBreastCancerILC"
52,0.00356848751029371,0.876811594202899,"HumanBreastCancerILC"
53,0.0040132853584279,0.869833212472806,"HumanBreastCancerILC"
54,0.00359066427289048,0.871482063051093,"HumanBreastCancerILC"
55,0.00358868184955141,0.871859903381643,"HumanBreastCancerILC"
56,0.0042740934785606,0.874545894889804,"HumanBreastCancerILC"
57,0.00303030303030303,0.874154589371981,"HumanBreastCancerILC"
58,0.00288223991216031,0.877415458937198,"HumanBreastCancerILC"
59,0.00372208436724566,0.872826086956522,"HumanBreastCancerILC"
60,0.00341997264021888,0.879937190481942,"HumanBreastCancerILC"
61,0.00357241000274801,0.87595120183597,"HumanBreastCancerILC"
62,0.00262684916355592,0.872626103786138,"HumanBreastCancerILC"
63,0.00412371134020619,0.875,"HumanBreastCancerILC"
64,0.00316020884858478,0.876207729468599,"HumanBreastCancerILC"
65,0.00410677618069815,0.878623188405797,"HumanBreastCancerILC"
66,0.00345017940932929,0.872312152693887,"HumanBreastCancerILC"
67,0.00275747966358748,0.873867343240304,"HumanBreastCancerILC"
68,0.00370472008781559,0.877250211429262,"HumanBreastCancerILC"
69,0.00275292498279422,0.875105689092886,"HumanBreastCancerILC"
70,0.00233324183365358,0.877898550724638,"HumanBreastCancerILC"
71,0.00345781466113416,0.870694864048338,"HumanBreastCancerILC"
72,0.00205761316872428,0.878835467504228,"HumanBreastCancerILC"
73,0.00288026333836236,0.878125377461046,"HumanBreastCancerILC"
74,0.00425707223290305,0.875724637681159,"HumanBreastCancerILC"
75,0.00455235204855842,0.871497584541063,"HumanBreastCancerILC"
76,0.00275671950379049,0.874214596423393,"HumanBreastCancerILC"
